Name,Rating,Number of ratings,Description,Course Link,Certification
AWS Cloud Technical Essentials,4.8,"3,243","Are you in a technical role and want to learn the fundamentals of AWS? Do you aspire to have a job or career as a cloud developer, architect, or in an operations role? If so, AWS Cloud Technical Essentials is an ideal way to start. This course was designed for those at the beginning of their cloud-learning journey - no prior knowledge of cloud computing or AWS products and services required!",/learn/aws-cloud-technical-essentials?specialization=aws-cloud-solutions-architect,AWS Cloud Solutions Architect  Professional Certificate
Architecting Solutions on AWS,4.9,23,"Are you looking to get more technical? Are you looking to begin working in the cloud, but don’t know where to go next? Are you looking to up your game by prepping for the AWS Solutions Architect Associate Exam? Do you see yourself as a cloud consultant, but can’t quite envision how your days would be? Are you puzzled how to match a customer’s requirements with the right AWS services/solutions? If so, you are in the right place!! You’ll learn how to plan, think, and act like a Solution Architect in a real-life customer scenario.",/learn/architecting-solutions-on-aws?specialization=aws-cloud-solutions-architect,AWS Cloud Solutions Architect  Professional Certificate
Introduction to Designing Data Lakes on AWS,4.6,126,"In this class, Introduction to Designing Data Lakes on AWS, we will help you understand how to create and operate a data lake in a secure and scalable way, without previous knowledge of data science! Starting with the ""WHY"" you may want a data lake, we will look at the Data-Lake value proposition, characteristics and components.",/learn/introduction-to-designing-data-lakes-in-aws?specialization=aws-cloud-solutions-architect,AWS Cloud Solutions Architect  Professional Certificate
Exam Prep: AWS Certified Solutions Architect - Associate,4.7,46,"This new intermediate-level course from Amazon Web Services (AWS) is designed to help you to assess your preparedness for the AWS Certified Solutions Architect - Associate exam. You will learn how to prepare for the exam by exploring the exam’s topic areas and how they map to architecting on AWS. You will review sample certification questions in each domain, practice skills with hands-on exercises, test your knowledge with practice question sets, and learn strategies for identifying incorrect responses by interpreting the concepts that are being tested in the exam. At the end of this course you will have all the knowledge and tools to help you identity your strengths and weaknesses in each certification domain areas that are being tested on the certification exam. ",/learn/aws-certified-solutions-architect-associate?specialization=aws-cloud-solutions-architect,AWS Cloud Solutions Architect  Professional Certificate
Create Machine Learning Models in Microsoft Azure,4.6,103,"Machine learning is the foundation for predictive modeling and artificial intelligence. If you want to learn about both the underlying concepts and how to get into building models with the most common machine learning tools this path is for you. In this course, you will learn the core principles of machine learning and how to use common tools and frameworks to train, evaluate, and use machine learning models.",/learn/create-machine-learning-models-in-microsoft-azure?specialization=azure-data-scientist,Microsoft Azure Data Scientist Associate (DP-100)  Professional Certificate
Microsoft Azure Machine Learning for Data Scientists,4.6,50,"Machine learning is at the core of artificial intelligence, and many modern applications and services depend on predictive machine learning models. Training a machine learning model is an iterative process that requires time and compute resources. Automated machine learning can help make it easier. In this course, you will learn how to use Azure Machine Learning to create and publish models without writing code.",/learn/microsoft-azure-machine-learning-for-data-scientist?specialization=azure-data-scientist,Microsoft Azure Data Scientist Associate (DP-100)  Professional Certificate
Build and Operate Machine Learning Solutions with Azure,4.6,16,"Azure Machine Learning is a cloud platform for training, deploying, managing, and monitoring machine learning models. In this course, you will learn how to use the Azure Machine Learning Python SDK to create and manage enterprise-ready ML solutions.",/learn/build-and-operate-machine-learning-solutions-with-azure?specialization=azure-data-scientist,Microsoft Azure Data Scientist Associate (DP-100)  Professional Certificate
Perform data science with Azure Databricks,3.8,21,"In this course, you will learn how to harness the power of Apache Spark and powerful clusters running on the Azure Databricks platform to run data science workloads in the cloud.",/learn/perform-data-science-with-azure-databricks?specialization=azure-data-scientist,Microsoft Azure Data Scientist Associate (DP-100)  Professional Certificate
Prepare for DP-100: Data Science on Microsoft Azure Exam,4.7,23,"Microsoft certifications give you a professional advantage by providing globally recognized and industry-endorsed evidence of mastering skills in digital and cloud businesses.​​ In this course, you will prepare to take the DP-100 Azure Data Scientist Associate certification exam. ",/learn/prepare-for-dp-100-design-a-data-science-solution-on-azure?specialization=azure-data-scientist,Microsoft Azure Data Scientist Associate (DP-100)  Professional Certificate
Google Cloud Fundamentals: Core Infrastructure,4.7,"46,616","Google Cloud Fundamentals: Core Infrastructure introduces important concepts and terminology for working with Google Cloud. Through videos and hands-on labs, this course presents and compares many of Google Cloud's computing and storage services, along with important resource and policy management tools.",/learn/gcp-fundamentals?specialization=google-cloud-developer,Preparing for Google Cloud Certification: Cloud Developer Professional Certificate
Getting Started with Google Kubernetes Engine,4.5,"3,570","In this course, each module aims to build on your ability to interact with GKE, and includes hands-on labs for you to experience functionalities first-hand. In the first module, you'll be introduced to a range of Google Cloud services and features, with a view to helping you choose the right Google Cloud services to create your own cloud solution. You'll learn about creating a container using Cloud Build, and store a container in Container Registry. You'll also compare and contrast the features of Kubernetes and Google Kubernetes Engine, also referred to as GKE. In addition to conceptualizing the Kubernetes architecture, you'll deploy a Kubernetes cluster using GKE, deploy Pods to a GKE cluster, and view and manage Kubernetes objects.",/learn/google-kubernetes-engine?specialization=google-cloud-developer,Preparing for Google Cloud Certification: Cloud Developer Professional Certificate
Getting Started With Application Development,4.5,"2,104","In this course, application developers learn how to design and develop cloud-native applications that seamlessly integrate managed services from Google Cloud. Through a combination of presentations, demos, and hands-on labs, participants learn how to apply best practices for application development and use the appropriate Google Cloud storage services for object storage, relational data, caching, and analytics. Learners can choose to complete labs in their favorite language: Node.js, Java, or Python.",/learn/getting-started-app-development?specialization=google-cloud-developer,Preparing for Google Cloud Certification: Cloud Developer Professional Certificate
Securing and Integrating Components of your Application,4.6,"1,305","In this course, application developers learn how to design and develop cloud-native applications that seamlessly integrate managed services from Google Cloud. Through a combination of presentations, demos, and hands-on labs, participants learn how to develop more secure applications, implement federated identity management, and integrate application components by using messaging, event-driven processing, and API gateways.",/learn/securing-integrating-components-app?specialization=google-cloud-developer,Preparing for Google Cloud Certification: Cloud Developer Professional Certificate
